store_id,store_name,wkt
place_54,Aldi,"POLYGON ((13.5568120000000008 52.6811009999999982, 13.5564280000000004 52.6810210000000012, 13.5564049999999998 52.6810630000000018, 13.5563160000000007 52.6810440000000000, 13.5563389999999995 52.6810029999999969, 13.5561380000000007 52.6809610000000035, 13.5562550000000002 52.6807549999999978, 13.5569279999999992 52.6808959999999971, 13.5568120000000008 52.6811009999999982))"
place_55,Aldi,"POLYGON ((13.4270770000000006 52.5264840000000035, 13.4268049999999999 52.5263180000000034, 13.4265580000000000 52.5261679999999984, 13.4262850000000000 52.5263339999999985, 13.4268040000000006 52.5266510000000011, 13.4270770000000006 52.5264840000000035))"
place_56,Aldi,"POLYGON ((13.7528629999999996 52.4300929999999994, 13.7530280000000005 52.4298330000000021, 13.7532200000000007 52.4298780000000022, 13.7532029999999992 52.4299060000000026, 13.7537509999999994 52.4300360000000012, 13.7537409999999998 52.4300520000000034, 13.7538959999999992 52.4300879999999978, 13.7538180000000008 52.4302109999999999, 13.7538769999999992 52.4302250000000001, 13.7538180000000008 52.4303179999999998, 13.7528629999999996 52.4300929999999994))"
place_57,Aldi,"POLYGON ((13.7212580000000006 52.3959990000000033, 13.7212680000000002 52.3957180000000022, 13.7211750000000006 52.3957160000000002, 13.7211730000000003 52.3957639999999998, 13.7205949999999994 52.3957559999999987, 13.7205870000000001 52.3959910000000022, 13.7212580000000006 52.3959990000000033))"
place_58,Aldi,"POLYGON ((13.4839780000000005 52.5225879999999989, 13.4840710000000001 52.5221889999999973, 13.4844340000000003 52.5222210000000018, 13.4843360000000008 52.5226449999999971, 13.4840520000000001 52.5226210000000009, 13.4840560000000007 52.5225939999999980, 13.4839780000000005 52.5225879999999989))"
place_59,Aldi,"POLYGON ((13.3779430000000001 52.5422190000000029, 13.3784080000000003 52.5425240000000002, 13.3782779999999999 52.5426259999999985, 13.3782650000000007 52.5426360000000017, 13.3782270000000008 52.5426179999999974, 13.3781739999999996 52.5426590000000004, 13.3776799999999998 52.5424239999999969, 13.3779430000000001 52.5422190000000029))"
place_60,Aldi,"POLYGON ((13.4554019999999994 52.4524169999999970, 13.4556649999999998 52.4520350000000022, 13.4560220000000008 52.4521259999999998, 13.4558140000000002 52.4524299999999997, 13.4557789999999997 52.4524210000000011, 13.4557369999999992 52.4524100000000004, 13.4556839999999998 52.4524880000000024, 13.4554019999999994 52.4524169999999970))"
place_61,Aldi,"POLYGON ((13.3144469999999995 52.4201100000000011, 13.3143130000000003 52.4199839999999995, 13.3143670000000007 52.4199630000000028, 13.3140280000000004 52.4196389999999965, 13.3142800000000001 52.4195399999999978, 13.3144650000000002 52.4197130000000016, 13.3145319999999998 52.4196870000000033, 13.3145969999999991 52.4197509999999980, 13.3146319999999996 52.4197360000000003, 13.3148979999999995 52.4199869999999990, 13.3147889999999993 52.4200289999999995, 13.3147470000000006 52.4199940000000026, 13.3144469999999995 52.4201100000000011))"
place_62,Aldi,"POLYGON ((13.5197800000000008 52.5750779999999978, 13.5196369999999995 52.5751050000000006, 13.5196600000000000 52.5751490000000032, 13.5196810000000003 52.5751909999999967, 13.5193829999999995 52.5752480000000020, 13.5193600000000007 52.5752049999999969, 13.5193379999999994 52.5751630000000034, 13.5191879999999998 52.5751909999999967, 13.5193420000000000 52.5754889999999975, 13.5200099999999992 52.5753610000000009, 13.5199770000000008 52.5752990000000011, 13.5199010000000008 52.5753130000000013, 13.5197800000000008 52.5750779999999978))"
place_63,Aldi,"POLYGON ((13.5052610000000008 52.4421019999999984, 13.5052660000000007 52.4421540000000022, 13.5053429999999999 52.4421510000000026, 13.5053629999999991 52.4423230000000018, 13.5057550000000006 52.4423069999999996, 13.5057580000000002 52.4423359999999974, 13.5059939999999994 52.4423260000000013, 13.5059660000000008 52.4420730000000006, 13.5052610000000008 52.4421019999999984))"
